Graphics v 0.2.5 ';' exported '2021-12-22 09:38:36'
;Record #0;;;;;;;;;
;Cycle #3;"";;;;;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;Comp. Th.;Slope;detect H-AE-3010;
0;4.03729;0;0;401.839;16.5574;25.1423;100;-78.5286;6.16487;
0.00333333;3.98822;0;0;401.814;17.8724;25.1423;100;-84.1744;4.26693;
0.00666667;3.94308;0;0;401.201;16.3847;25.1443;100;-84.1744;4.15309;
0.01;3.87439;0;0;400.614;17.5211;25.1462;100;-92.7116;5.70756;
0.0133333;3.84887;0;0;398.828;16.4495;25.1482;100;-92.7116;5.96467;
0.0166667;3.77821;0;0;402.4;17.0716;25.1502;100;-94.6968;6.18057;
0.02;3.75074;0;0;402.987;17.5721;25.1541;100;-81.5118;6.18449;
0.0233333;3.70756;0;0;404.033;17.1482;25.156;100;-81.5118;6.12954;
0.0266667;3.6369;0;0;400.589;18.0589;25.158;100;-61.7367;6.02159;
0.03;3.61335;0;0;399.874;16.6928;25.16;100;-39.8318;5.99019;
0.0333333;3.5682;0;0;398.905;17.6624;25.1619;100;-39.8318;5.9156;
0.0366667;3.49755;0;0;401.763;16.1904;25.1639;100;-24.4352;5.81943;
0.04;3.47596;0;0;399.772;17.6055;25.1658;100;-24.4352;5.7841;
0.0433333;3.41119;0;0;399.058;16.3572;25.1658;100;-19.1448;5.69578;
0.0466667;3.38763;0;0;397.935;17.1011;25.1678;100;-14.8538;5.6683;
0.05;3.34642;0;0;398.599;17.3445;25.1678;100;-14.8538;5.61138;
0.0533333;3.27969;0;0;399.798;17.1462;25.1717;100;-9.23928;5.51129;
0.0566667;3.2581;0;0;402.247;17.8744;25.1717;100;0.460935;5.47203;
0.06;3.19529;0;0;397.884;16.9205;25.1737;100;0.460935;5.35231;
0.0633333;3.17762;0;0;397.374;18.0608;25.1717;100;10.1309;5.32483;
0.0666667;3.13052;0;0;397.042;16.1825;25.1737;100;10.1309;5.22081;
0.07;3.08734;0;0;396.047;17.4445;25.1717;100;12.2866;5.13445;
0.0733333;3.05005;0;0;398.267;16.4789;25.1737;100;3.60242;5.05201;
0.0766667;3.00687;0;0;400.027;17.5309;25.1757;100;3.60242;4.94602;
0.08;2.96369;0;0;399.032;16.9166;25.1757;100;-6.62275;4.86359;
0.0833333;2.92444;0;0;400.078;17.2071;25.1757;100;-6.62275;4.77723;
0.0866667;2.88322;0;0;400.819;17.8842;25.1757;100;-16.9881;4.67321;
0.09;2.82238;0;0;400.971;17.3739;25.1698;100;-23.2116;4.53974;
0.0933333;2.80471;0;0;401.38;17.9431;25.1678;100;-23.2116;4.50245;
0.0966667;2.76742;0;0;400.691;16.3592;25.1658;100;-25.2303;4.40628;
0.1;2.7262;0;0;397.655;17.5348;25.1619;100;-25.2303;4.33759;
0.103333;2.69087;0;0;398.42;16.2198;25.16;100;-26.2038;4.24338;
0.106667;2.63396;0;0;401.099;17.8901;25.158;100;-26.2038;4.10991;
0.11;2.61237;0;0;401.66;16.8498;25.158;100;-27.1179;4.07851;
0.113333;2.57704;0;0;402.809;18.0373;25.1541;100;-28.0667;3.98234;
0.116667;2.54171;0;0;399.415;18.1276;25.156;100;-28.0667;3.90775;
0.12;2.50245;0;0;399.67;16.7871;25.1541;100;-28.8451;3.81354;
0.123333;2.44357;0;0;400.614;16.7458;25.1521;100;-29.2769;3.69185;
0.126667;2.42591;0;0;401.354;16.9441;25.1521;100;-29.2769;3.65456;
0.13;2.3788;0;0;401.763;17.6879;25.1521;100;-29.5506;3.53484;
0.133333;2.35329;0;0;398.344;16.2002;25.1502;100;-29.5506;3.5054;
0.136667;2.32188;0;0;397.808;17.0187;25.1482;100;-29.324;3.44063;
0.14;2.26497;0;0;398.675;17.4995;25.1482;100;-28.8484;3.33072;
0.143333;2.2316;0;0;399.339;17.7664;25.1443;100;-28.8484;3.24632;
0.146667;2.21786;0;0;401.941;17.9902;25.1423;100;-28.2551;3.22277;
0.15;2.17861;0;0;403.14;16.5535;25.1384;100;-28.2551;3.13641;
0.153333;2.1472;0;0;398.803;17.8881;25.1384;100;-27.5037;3.07556;
0.156667;2.11384;0;0;398.65;15.9686;25.1345;100;-26.7063;3.01472;
0.16;2.06673;0;0;401.431;17.4897;25.1325;100;-26.7063;2.91462;
0.163333;2.04514;0;0;400.206;16.4377;25.1325;100;-25.9313;2.87929;
0.166667;2.01374;0;0;401.916;17.2483;25.1266;100;-25.0767;2.81649;
0.17;1.96271;0;0;397.272;16.8911;25.1148;100;-25.0767;2.72228;
0.173333;1.95682;0;0;399.083;16.9578;25.1109;100;-24.2804;2.68891;
0.176667;1.8999;0;0;398.344;16.9048;25.105;100;-24.2804;2.60059;
0.18;1.89009;0;0;401.329;16.5751;25.1011;100;-23.5951;2.56722;
0.183333;1.85476;0;0;401.482;17.892;25.0972;100;-22.8526;2.51619;
0.186667;1.80765;0;0;400.487;16.3847;25.0932;100;-22.8526;2.43768;
0.19;1.78999;0;0;397.603;17.6153;25.0913;100;-22.1707;2.40628;
0.193333;1.737;0;0;399.849;16.2022;25.0932;100;-21.4294;2.3317;
